sku,field,expected,actual
INNOX-INNOX-V-MOUNT-005,category_slug,"power","batteries-power"
LIFEF-LIFEFOTO-OCTA-SOFTBO-026,category_slug,"lighting-accessories","lighting-modifiers"
FLIX-MC-12-LIGHT-002,category_slug,"lighting","led-panels"
FLIX-BEUATY-DISH-002,category_slug,"lighting-accessories","lighting"
APUTU-SPOTLIHT-MOUNT-APTUR-013,category_slug,"lighting-accessories","lighting"
APUTU-APTURE-F10-FRESNEL-016,category_slug,"lighting-accessories","light-accessories"
FLIX-CIRCULAR-DIFFUSERREF-041,category_slug,"lighting-accessories","light-accessories"
RANDM-RM-CAMERA-SADDLE-013,category_slug,"accessories","camera-accessories"
RANDM-RM-AIR-TUBE-032,category_slug,"lighting-accessories","lighting"
RANDM-RM-AIR-TUBE-031,category_slug,"lighting-accessories","light-accessories"
FLIX-TRP-ULTRABOUNCE-8FEE-004,category_slug,"lighting-accessories","lighting"
NANLU-NANLUX-1200D-008,category_slug,"lighting","led-panels"
BLUES-BLUE-SHAPE-B-001,category_slug,"power","batteries-power"
RANDM-RM-AIR-TUBE-033,category_slug,"lighting-accessories","lighting-modifiers"
APUTU-AMARAN-F22C-004,category_slug,"lighting","led-panels"
TILTA-TILTA-NUCLEUS-M-003,category_slug,"accessories","camera-accessories"
APUTU-APUTURE-SPACELIGHT-006,category_slug,"lighting-accessories","lighting"
SONY-SONY-CFEXPRESS-READE-006,category_slug,"accessories","camera-accessories"
APUTU-APTURE-FRESNEL-2X-039,category_slug,"lighting-accessories","lighting"
APUTU-APTURE-INFINIBAR-016,category_slug,"lighting","led-panels"
FLIX-LED-FOG-MACHINE-007,category_slug,"lighting-accessories","light-accessories"
FLIX-LIGHT-CONE-005,category_slug,"lighting-accessories","lighting"
